category_id,category
348,집 > 침구 > 베개/포지셔너
349,집 > 침구
350,집 > 가구 > 거실 가구
351,집 > 가구 > 사무용 가구
352,집 > 가구 > 주방 가구
353,집 > 가구 > 침실 가구
354,집 > 가구
355,집 > 가정용품 > 보관/정리
356,집 > 가정용품 > 램프/조명
357,집 > 가정용품 > 주방/다이닝 > 소형 주방기기
358,집 > 가정용품 > 주방/다이닝 > 접시류
359,집 > 가정용품 > 주방/다이닝 > 식기류
360,집 > 가정용품 > 주방/다이닝 > 주방 도구/기구
361,집 > 가정용품 > 주방/다이닝 > 제빵 기구
362,집 > 가정용품 > 주방/다이닝 > 음료컵
363,집 > 가정용품 > 주방/다이닝 > 조리기구
364,집 > 가정용품 > 주방/다이닝 > 글라스류
365,집 > 가정용품 > 주방/다이닝
366,집 > 가정용품 > 목욕용품 > 수건/욕실용 린넨
367,집 > 가정용품 > 목욕용품 > 목욕용품
368,집 > 가정용품 > 목욕용품
369,집 > 가정용품 > 가정용 장식품 > 연말연시/명절 장식
370,집 > 가정용품 > 가정용 장식품 > 러그/카펫
371,집 > 가정용품 > 가정용 장식품 > 창문 장식/철물
372,집 > 가정용품 > 가정용 장식품 > 가정용 방향제
373,집 > 가정용품 > 가정용 장식품 > 시계
374,집 > 가정용품 > 가정용 장식품 > 포인트 장식품
375,집 > 가정용품 > 가정용 장식품
376,집 > 가정용품
377,집
378,의류 및 액세서리 > 의류 액세서리 > 여성용 액세서리 > 벨트
379,의류 및 액세서리 > 의류 액세서리 > 여성용 액세서리 > 장갑/벙어리 장갑
380,의류 및 액세서리 > 의류 액세서리 > 여성용 액세서리 > 선글라스
381,의류 및 액세서리 > 의류 액세서리 > 여성용 액세서리 > 스카프
382,의류 및 액세서리 > 의류 액세서리 > 여성용 액세서리 > 모자
383,의류 및 액세서리 > 의류 액세서리 > 여성용 액세서리
384,의류 및 액세서리 > 의류 액세서리 > 남성용 액세서리 > 넥타이
385,의류 및 액세서리 > 의류 액세서리 > 남성용 액세서리 > 벨트
386,의류 및 액세서리 > 의류 액세서리 > 남성용 액세서리 > 모자
387,의류 및 액세서리 > 의류 액세서리 > 남성용 액세서리 > 가터
388,의류 및 액세서리 > 의류 액세서리 > 남성용 액세서리 > 선글라스
389,의류 및 액세서리 > 의류 액세서리 > 남성용 액세서리 > 장갑/벙어리 장갑
390,의류 및 액세서리 > 의류 액세서리 > 남성용 액세서리 > 스카프
391,의류 및 액세서리 > 의류 액세서리 > 남성용 액세서리
392,의류 및 액세서리 > 의류 액세서리 > 여아용 액세서리 > 모자
393,의류 및 액세서리 > 의류 액세서리 > 여아용 액세서리 > 장갑/벙어리 장갑
394,의류 및 액세서리 > 의류 액세서리 > 여아용 액세서리 > 벨트
395,의류 및 액세서리 > 의류 액세서리 > 여아용 액세서리 > 스카프
396,의류 및 액세서리 > 의류 액세서리 > 여아용 액세서리 > 선글라스
397,의류 및 액세서리 > 의류 액세서리 > 여아용 액세서리
398,의류 및 액세서리 > 의류 액세서리 > 남아용 액세서리 > 넥타이
399,의류 및 액세서리 > 의류 액세서리 > 남아용 액세서리 > 가터
400,의류 및 액세서리 > 의류 액세서리 > 남아용 액세서리 > 지갑
401,의류 및 액세서리 > 의류 액세서리 > 남아용 액세서리 > 장갑/벙어리 장갑
402,의류 및 액세서리 > 의류 액세서리 > 남아용 액세서리 > 모자
403,의류 및 액세서리 > 의류 액세서리 > 남아용 액세서리 > 스카프
404,의류 및 액세서리 > 의류 액세서리 > 남아용 액세서리 > 벨트
405,의류 및 액세서리 > 의류 액세서리 > 남아용 액세서리 > 선글라스
406,의류 및 액세서리 > 의류 액세서리 > 남아용 액세서리
407,의류 및 액세서리 > 의류 액세서리
408,의류 및 액세서리 > 신발 > 여성화 > 부츠
409,의류 및 액세서리 > 신발 > 여성화 > 힐
410,의류 및 액세서리 > 신발 > 여성화 > 패션 운동화
411,의류 및 액세서리 > 신발 > 여성화 > 슬리퍼
412,의류 및 액세서리 > 신발 > 여성화 > 샌들
413,의류 및 액세서리 > 신발 > 여성화 > 플랫
414,의류 및 액세서리 > 신발 > 여성화 > 운동화
415,의류 및 액세서리 > 신발 > 여성화
416,의류 및 액세서리 > 신발 > 남성화 > 샌들
417,의류 및 액세서리 > 신발 > 남성화 > 캐주얼화/정장화
418,의류 및 액세서리 > 신발 > 남성화 > 부츠
419,의류 및 액세서리 > 신발 > 남성화 > 운동화
420,의류 및 액세서리 > 신발 > 남성화 > 슬리퍼
421,의류 및 액세서리 > 신발 > 남성화 > 패션 운동화
422,의류 및 액세서리 > 신발 > 남성화
423,의류 및 액세서리 > 신발 > 아동용 신발 > 남아용 신발
424,의류 및 액세서리 > 신발 > 유아 신발 > 남아용 신발
425,의류 및 액세서리 > 신발 > 아동용 신발 > 여아용 유아 신발
426,의류 및 액세서리 > 신발 > 유아 신발 > 여아용 유아 신발
427,의류 및 액세서리 > 신발 > 아동용 신발
428,의류 및 액세서리 > 신발 > 유아 신발
429,의류 및 액세서리 > 신발
430,의류 및 액세서리 > 의류 > 여성복 > 상의/티셔츠
431,의류 및 액세서리 > 의류 > 여성복 > 양말/스타킹/타이즈 > 양말
432,의류 및 액세서리 > 의류 > 여성복 > 양말/스타킹/타이즈 > 레그 워머
433,의류 및 액세서리 > 의류 > 여성복 > 양말/스타킹/타이즈 > 팬티스타킹/스타킹
434,의류 및 액세서리 > 의류 > 여성복 > 양말/스타킹/타이즈 > 스타킹/타이즈
435,의류 및 액세서리 > 의류 > 여성복 > 양말/스타킹/타이즈
436,의류 및 액세서리 > 의류 > 여성복 > 운동복 상의/후드
437,의류 및 액세서리 > 의류 > 여성복 > 수영복
438,의류 및 액세서리 > 의류 > 여성복 > 정장/블레이저
439,의류 및 액세서리 > 의류 > 여성복 > 반바지
440,의류 및 액세서리 > 의류 > 여성복 > 스웨터
441,의류 및 액세서리 > 의류 > 여성복 > 바지
442,의류 및 액세서리 > 의류 > 여성복 > 스커트
443,의류 및 액세서리 > 의류 > 여성복 > 드레스
444,의류 및 액세서리 > 의류 > 여성복 > 란제리/잠옷 > 잠옷
445,의류 및 액세서리 > 의류 > 여성복 > 란제리/잠옷 > 속옷
446,의류 및 액세서리 > 의류 > 여성복 > 란제리/잠옷 > 슬립
447,의류 및 액세서리 > 의류 > 여성복 > 란제리/잠옷 > 브라
448,의류 및 액세서리 > 의류 > 여성복 > 란제리/잠옷 > 보정속옷
449,의류 및 액세서리 > 의류 > 여성복 > 란제리/잠옷
450,의류 및 액세서리 > 의류 > 여성복 > 청바지
451,의류 및 액세서리 > 의류 > 여성복 > 점프수트/롬퍼
452,의류 및 액세서리 > 의류 > 여성복 > 레깅스
453,의류 및 액세서리 > 의류 > 여성복 > 스포츠웨어
454,의류 및 액세서리 > 의류 > 여성복 > 코트/재킷
455,의류 및 액세서리 > 의류 > 여성복
456,의류 및 액세서리 > 의류 > 남성복 > 속옷
457,의류 및 액세서리 > 의류 > 남성복 > 수영복
458,의류 및 액세서리 > 의류 > 남성복 > 운동복 상의/후드
459,의류 및 액세서리 > 의류 > 남성복 > 티셔츠
460,의류 및 액세서리 > 의류 > 남성복 > 잠옷
461,의류 및 액세서리 > 의류 > 남성복 > 정장
462,의류 및 액세서리 > 의류 > 남성복 > 정장 셔츠
463,의류 및 액세서리 > 의류 > 남성복 > 청바지
